text,category
0,musicians tackle red tape musicians groups tackle visa regulations blamed hindering british acts chances succeeding atlantic singer hoping perform expect pay 300 680 simply obtaining visa groups including musicians union calling raw faced british performers acts faced comparable expense bureaucracy visiting promotional purposes nigel mccune musicians union british musicians disadvantaged compared counterparts sponsor petition behalf form amounting nearly 30 pages musicians face tougher regulations athletes journalists mistake form risk ban ability career says mr mccune biggest music market means creaky bureaucracy says mr mccune current situation preventing british acts maintaining momentum developing added musicians union stance endorsed music managers forum mmf british artists face uphill struggle succeed thanks tough visa requirements seen impractical mmf secretary james seller imagine orchestra orkneys member travel london visas processed market seen holy grail benchmarks success fight important markets india china added mr seller department media culture sport spokeswoman aware experiencing problems working embassy embassy aware entertainers require visas specific visas process applications speedily aware importance cultural exchange facilitate added,entertainment
1,u2 desire number u2 won prestigious grammy awards hit vertigo stubbornly clinging status biggest bands world popular groups history rock things common music inspired appeal generations distinctive groundbreaking success music compelling performers charismatic intelligent decisions feet ground want want biggest band stop wanting beatles rolling stones rem hold queen catsuit u2 spades churning new album dismantle atomic bomb comes 28 years schoolfriends got dublin 17 years joshua tree cemented rock list lost edginess raw youthful force propelled lost desire ability craft songs albums vertigo single new album straight uk singles chart number knocking eminem spot giving 26th hit challenge bigger bolder better records world listen bono recently drummer larry mullen jr echoed sentiments competitive want radio singles t want veteran band band considerable powers ensure remain biggest band world q magazine editor paul rees makes hugely determined formidable equally determined push music continues stand constantly invented challenged rock band got better age ingredient fact highly organised rees way born mullen appeal bandmates school notice board attracting fellow pupils paul hewson bono vocals adam clayton bass evans edge guitar brother dick dick evans soon dropped piece known feedback hype settling u2 1978 won talent contest got noticed manager paul mcguinness brilliant coarse mcguinness recently way exactly badly struggled attract attention described pretty damn average strange eerie scouts saw live released ireland singles topped charts 1979 1980 leading island debut album boy stadium filling anthemic sound u2 aim album war saw breakthrough sides atlantic number uk songs sunday bloody sunday new brought success image political spiritual band bono rejected cliche stage performances included flag waving speaker climbing drum throwing earned reputation electric performer appearance 1985 live aid widely sealing global stardom 1987 joshua tree broke records saw band reach height powers hits streets haven t songs band epic atmospheric sound simple powerful popular pinnacle decade marked crucial point band reached yearned new challenges achievements form explorations different branches rock forays electronic dance music plus wildly extravagant stage shows trying retain mass appeal achtung baby album 1991 followed zooropa pop corresponding stadium tours featured giant olives flying cars live phone calls white house bono transformation alter egos fly macphisto building parallel reputation pleasure bandmates campaigner issues global debt aids release dismantle atomic bomb sold 125 albums world want,entertainment
2,rocker doherty stage fight rock singer pete doherty involved fight band guitarist gig date babyshambles played 000 fans london brixton academy tuesday libertines singer traded blows guitarist patrick walden separated bundled stage returning held audience overcrowding monday doherty faced blackmail robbery charges court denies 50 000 bail judge agreed extend 2200 gmt curfew deadline hours brixton gig babyshambles formed acrimonious departure libertines played warm garage north london monday tuesday doherty bandmates introduced crowd mick jones clash guitarist produced libertines album babyshambles took stage frenzied reception 2200 gmt launching single killamangiro reached stop song persuade fans push forward allow security guards pull people crush doherty appealed fans calm people getting hurt ve resumed minutes songs singer appeared accidentally disconnect walden guitar leading pair trade kicks punches bouncers stepped band left stage returned minutes finished 50 minute performance trouble doherty 25 midnight observe curfew conditions bail monday judge agreed allow perform condition requests changes bail terms regular occurrence singer arrested fellow musician alan wass february alleged dispute documentary maker max carlish london hotel court 18 april,entertainment
3,snicket tops box office chart film adaptation lemony snicket novels topped north america box office chart displacing ocean 12 series unfortunate events starring jim carrey took m £ 15 m debut weekend ocean 12 fell number entry spanglish entered chart number 9 m £ 4 m series unfortunate events stars scottish comedian billy connelly carrey takes number different roles surreal film entry flight phoenix number starring dennis quaid carrey entertained crowds premiere lemony snicket friday actor grabbed co star meryl streep whisked leicester square based cult children books author daniel handler film follows children orphaned parents die fire taken wicked uncle count olaf played carrey schemes hands fortune,entertainment
4,ocean raids box office ocean crime caper sequel starring george clooney brad pitt julia roberts gone straight number box office chart took 40 8 m £ 21 m weekend ticket sales studio estimates sequel follows master criminals try pull heists knocked number treasure wesley snipes blade trinity taking 16 1 m £ 8 m rounding animated fable polar express starring tom hanks festive comedy christmas kranks ocean box office triumph marks fourth opening december release films lord rings trilogy sequel narrowly beat 2001 predecessor ocean took 38 1 m £ 19 8 m opening weekend 184 m £ 95 8 m total remake 1960s starring frank sinatra rat pack ocean directed oscar winning steven soderbergh soderbergh returns direct sequel reunites clooney pitt roberts matt damon andy garcia elliott gould catherine zeta jones joins star cast fun holiday movie dan fellman president distribution warner bros critics complimentary 110 m £ 57 m project los angeles times labelling dispiriting vanity project milder review york times dubbed sequel unabashedly trivial,entertainment
5, landmark movies 2004 hailed film professionals declared fahrenheit passion christ significant cultural milestones 2004 american film institute afi hailed mel gibson biblical epic moore political documentary inspiring debate claimed film makers tossed hollywood convention window institute cited death actor marlon brando changing landscape news referring marlon brando death july age 80 13 afi jury concluded art screen acting chapters brando brando credited screen legend raw hypnotic energy ability create characters stanley kowalski terry malloy live forever annals film history list acknowledges influences trends film broadcasting trends highlighted broadcasts veteran newscasters tom brokaw barbara walters impending retirement cbs news anchor dan afi fears news landscape newscasters personalities journalists balance integrity increasingly ignored afi questioned term viability evening news broadcasts light 24 hour news channels internet list draws attention growing influence broadcasting regulator federal communications commission fcc institute concluded threat regulation freefall janet jackson wardrobe malfunction live super bowl performance february profound effect television unsure fcc rule issue creative community begun self censor shows disturbing trend founded free expression afi jury declared illustrate afi cited abc affiliates refusal air steven spielberg film saving private ryan unedited form fears possible fines,entertainment
6,pete doherty misses bail deadline singer pete doherty spend weekend jail 150 bond money bail time libertines singer granted bail curfew restrictions highbury corner magistrates court charges robbery blackmail lawyer money raised time mr doherty 25 arrested alleged incident london hotel wednesday evening musician alan wass 23 north london appeared court accused offences magistrates imposed range bail conditions mr doherty including curfew 2200 0700 attends drug rehabilitation centre told leave accompanied security surrender passport report daily local police station mr wass given curfew told surrender passport mr doherty left libertines june continued performing band babyshambles singer linked supermodel kate moss arrested police called islington hotel response claims man assaulted man 30s university college hospital london facial injuries discharged lawyer representing mr doherty mr wass outside court pair strenuously denied charges,entertainment
7,fockers retain chart crown comedy meet fockers held spot north american box office second week took 42 8 m £ 23 7 m weekend making overall takings 163 m £ 90 m 12 according studio estimates took 19 m £ 9 9 m christmas day highest takings day box office history sequel ben stiller comedy meet parents stars robert de niro dustin hoffman barbra streisand success meet fockers produce record box office revenue paul dergarabedian president industry tracker exhibitor relations ve stronger anticipated week year helped industry high note dergarabedian meet fockers broke box office records taken new year eve 12 2 m £ 6 2 m new year day took 18 m £ 9 4 m previous new year eve record 2000 cast away 8 5 m £ 4 5 m lord rings return king held new year day title 12 8 m £ 6 7 m christmas takings 26 5 figures blamed christmas falling weekend year weekend 12 films took estimated 125 4 m £ 65 8 m 4 increase weekend year major releases week provide competition meet fockers lemony snicket series unfortunate events finished second place 14 7 m £ 7 7 m aviator starring leonardo dicaprio howard hughes ended position taking 11 2 m £ 5 9 m comedy fat albert co written bill cosby moved chart fourth place taking 7 m £ 5 6 m,entertainment
8,gig award scissor sisters york band scissor sisters won gig year award performance year v festival award voted listeners virgin radio compiled 10 dominated newcomers music scene year quirky disco rock band beat red hot chili peppers came hyde park performance june virgin radio dj pete mitchell year amazing array talent come mainstream scissor sisters original eccentric bands come surprise public lapping performances newcomers keane came place august gig v festival followed maroon snow patrol music veterans bowie earned places list number 10 respectively number seven oxfam fair trade gig hammersmith apollo october featured performances rem razorlight coldplay chris martin glasgow franz ferdinand earned place number home town performance april annual survey voted nearly listeners,entertainment
9,johnny depp acting outlaw johnny depp latest role peter pan creator jm barrie finding neverland celebrated hollywood maverick talents depp unlikely major star preference dark idiosyncratic roles surefire box hits long relationship equally unconventional director tim burton depp born kentucky 1963 rock star playing bands supporting acts iggy pop b 52s florida visit los angeles wife introduced actor nicolas cage 1984 started film career playing doomed teenager horror film nightmare elm street years later played soldier oliver stone vietnam epic platoon tv depp star played undercover cop tommy hanson 21 jump street years 1987 1990 began partnership burton dark fairy tale edward scissorhands man blades hands plaudits 1993 downbeat film eating gilbert grape played sensitive youth overweight mother retarded younger brother played leonardo dicaprio role burton ed wood starred depp crazed cult film maker wood 1994 played sensitive role major film donnie brasco portrayed undercover cop infiltrating mafia ring 1997 directed film date brave story indian man offered appear snuff film years later played hunter thompson terry gilliam ambitious poorly screen adaptation fear loathing las vegas worked tim burton 1999 horror film sleepy hollow appeared opposite dame judi dench juliette binoche chocolat performance pirates caribbean earned golden globe bafta nominations critics thinking mannerisms friend rolling stones guitarist keith richards latest role finding neverland explored jm barrie relationship sylvia kate winslet children depp charismatic performance drew audience adults children alike barrie vivid imagination fifth child film director marc forster children french singer vanessa paradis previously long relationship british model kate moss theme children literature depp career long association tim burton role playing willy wonka remake roald dahl classic charlie chocolate factory british tv comedy remember depp guest role episode sketch fast cited favourite surprise depp varied intriguing career,entertainment
